,num_points,max_iterations,application,num_threads,chunk_size,repeat,runtime,comptime,work
0,100,100,python,1,default,1,0.019711499999999993,0.0,[206172]
1,100,100,python,1,default,2,0.019452541000000045,0.0,[206172]
2,100,100,python,1,default,3,0.01946387500000002,0.0,[206172]
3,100,100,python,1,default,4,0.01942112500000004,0.0,[206172]
4,100,100,python,1,default,5,0.019570708000000048,0.0,[206172]
5,100,500,python,1,default,1,0.06395870800000003,0.0,[873602]
6,100,500,python,1,default,2,0.064511875,0.0,[873602]
7,100,500,python,1,default,3,0.06531575000000012,0.0,[873602]
8,100,500,python,1,default,4,0.064019834,0.0,[873602]
9,100,500,python,1,default,5,0.06389025000000004,0.0,[873602]
10,100,1000,python,1,default,1,0.11997966699999996,0.0,[1703126]
11,100,1000,python,1,default,2,0.12023479100000012,0.0,[1703126]
12,100,1000,python,1,default,3,0.11596175000000009,0.0,[1703126]
13,100,1000,python,1,default,4,0.1159020420000001,0.0,[1703126]
14,100,1000,python,1,default,5,0.11680479199999994,0.0,[1703126]
15,500,100,python,1,default,1,0.48299037499999997,0.0,[5227748]
16,500,100,python,1,default,2,0.4801490840000002,0.0,[5227748]
17,500,100,python,1,default,3,0.47891070800000035,0.0,[5227748]
18,500,100,python,1,default,4,0.48295512500000015,0.0,[5227748]
19,500,100,python,1,default,5,0.5085502499999994,0.0,[5227748]
20,500,500,python,1,default,1,1.6321522500000007,0.0,[22061246]
21,500,500,python,1,default,2,1.5995894999999996,0.0,[22061246]
22,500,500,python,1,default,3,1.5746292080000002,0.0,[22061246]
23,500,500,python,1,default,4,1.6151301670000002,0.0,[22061246]
24,500,500,python,1,default,5,1.5852438750000015,0.0,[22061246]
25,500,1000,python,1,default,1,2.9464122919999998,0.0,[42970051]
26,500,1000,python,1,default,2,2.973139292000001,0.0,[42970051]
27,500,1000,python,1,default,3,2.998818,0.0,[42970051]
28,500,1000,python,1,default,4,3.0441140000000004,0.0,[42970051]
29,500,1000,python,1,default,5,3.0503125840000003,0.0,[42970051]
30,2000,100,python,1,default,1,7.929169207999998,0.0,[83863030]
31,2000,100,python,1,default,2,7.882508790999999,0.0,[83863030]
32,2000,100,python,1,default,3,7.888428916999999,0.0,[83863030]
33,2000,100,python,1,default,4,7.868557041999999,0.0,[83863030]
34,2000,100,python,1,default,5,7.928608834000009,0.0,[83863030]
35,2000,500,python,1,default,1,25.973139500000002,0.0,[354222438]
36,2000,500,python,1,default,2,26.136620667000003,0.0,[354222438]
37,2000,500,python,1,default,3,25.912451417000014,0.0,[354222438]
38,2000,500,python,1,default,4,25.697210458,0.0,[354222438]
39,2000,500,python,1,default,5,25.711067334000006,0.0,[354222438]
40,2000,1000,python,1,default,1,48.312853209,0.0,[689831158]
41,2000,1000,python,1,default,2,48.49147887500001,0.0,[689831158]
42,2000,1000,python,1,default,3,49.01822525,0.0,[689831158]
43,2000,1000,python,1,default,4,48.48634441600001,0.0,[689831158]
44,2000,1000,python,1,default,5,48.69402416600002,0.0,[689831158]
45,5000,100,python,1,default,1,50.019092417000024,0.0,[524452924]
46,5000,100,python,1,default,2,49.88742254199997,0.0,[524452924]
47,5000,100,python,1,default,3,50.08853429199996,0.0,[524452924]
48,5000,100,python,1,default,4,50.07441237499995,0.0,[524452924]
49,5000,100,python,1,default,5,50.07370875000004,0.0,[524452924]
50,5000,500,python,1,default,1,163.73214258400003,0.0,[2215376462]
51,5000,500,python,1,default,2,163.3188762499999,0.0,[2215376462]
52,5000,500,python,1,default,3,164.303981583,0.0,[2215376462]
53,5000,500,python,1,default,4,163.61887670899978,0.0,[2215376462]
54,5000,500,python,1,default,5,163.93998175000002,0.0,[2215376462]
55,5000,1000,python,1,default,1,305.14879437499985,0.0,[4314394336]
56,5000,1000,python,1,default,2,306.59078595899973,0.0,[4314394336]
57,5000,1000,python,1,default,3,305.4841325409998,0.0,[4314394336]
58,5000,1000,python,1,default,4,305.16109862500025,0.0,[4314394336]
59,5000,1000,python,1,default,5,300.5010120830002,0.0,[4314394336]
60,100,100,withnumba,1,default,1,0.19981766599994444,0.6710649179999564,[206172]
61,100,100,withnumba,1,default,2,0.0007933330002742878,0.8700892509996265,[206172]
62,100,100,withnumba,1,default,3,0.0007833330000721617,0.8700992509998287,[206172]
63,100,100,withnumba,1,default,4,0.000770791999912035,0.8701117919999888,[206172]
64,100,100,withnumba,1,default,5,0.0007686670001021412,0.8701139169997987,[206172]
65,100,500,withnumba,1,default,1,0.0032603329996163666,-6.229099972188124e-05,[873602]
66,100,500,withnumba,1,default,2,0.0032379999997829145,-3.9957999888429185e-05,[873602]
67,100,500,withnumba,1,default,3,0.0031948340001690667,3.207999725418631e-06,[873602]
68,100,500,withnumba,1,default,4,0.0031005830001049617,9.745899978952366e-05,[873602]
69,100,500,withnumba,1,default,5,0.003268166999987443,-7.012500009295763e-05,[873602]
70,100,1000,withnumba,1,default,1,0.0062456670002575265,1.7583000044396613e-05,[1703126]
71,100,1000,withnumba,1,default,2,0.006319792000340385,-5.654200003846199e-05,[1703126]
72,100,1000,withnumba,1,default,3,0.0063471250000475266,-8.387499974560342e-05,[1703126]
73,100,1000,withnumba,1,default,4,0.006206749999819294,5.650000048262882e-05,[1703126]
74,100,1000,withnumba,1,default,5,0.006192792000092595,7.045800020932802e-05,[1703126]
75,500,100,withnumba,1,default,1,0.01868220799997289,0.00021337599991966272,[5227748]
76,500,100,withnumba,1,default,2,0.01868712499981484,0.0002084590000777098,[5227748]
77,500,100,withnumba,1,default,3,0.018488332999822887,0.00040725100006966386,[5227748]
78,500,100,withnumba,1,default,4,0.018151374999888503,0.000744209000004048,[5227748]
79,500,100,withnumba,1,default,5,0.01839350000000195,0.0005020839998906013,[5227748]
80,500,500,withnumba,1,default,1,0.07818641600033516,-1.0409999049443286e-06,[22061246]
81,500,500,withnumba,1,default,2,0.07812391600009505,6.145900033516227e-05,[22061246]
82,500,500,withnumba,1,default,3,0.07817812500024957,7.250000180647476e-06,[22061246]
83,500,500,withnumba,1,default,4,0.07820804199991471,-2.2666999484499684e-05,[22061246]
84,500,500,withnumba,1,default,5,0.07818229199983762,3.0830005925963633e-06,[22061246]
85,500,1000,withnumba,1,default,1,0.15254154200010817,-0.0020567510000546463,[42970300]
86,500,1000,withnumba,1,default,2,0.15249504199982766,-0.0020102509997741436,[42970300]
87,500,1000,withnumba,1,default,3,0.15244779200020275,-0.0019630010001492337,[42970300]
88,500,1000,withnumba,1,default,4,0.15237858300042717,-0.0018937920003736508,[42970300]
89,500,1000,withnumba,1,default,5,0.15245562500012966,-0.001970834000076138,[42970300]
90,2000,100,withnumba,1,default,1,0.288815416000034,-0.004645624000204407,[83863030]
91,2000,100,withnumba,1,default,2,0.28851062500007174,-0.004340833000242128,[83863030]
92,2000,100,withnumba,1,default,3,0.2898188329995719,-0.005649040999742283,[83863030]
93,2000,100,withnumba,1,default,4,0.2932790830000158,-0.009109291000186204,[83863030]
94,2000,100,withnumba,1,default,5,0.28209979099983684,0.0020700009999927715,[83863030]
95,2000,500,withnumba,1,default,1,1.2524837089999892,-0.03220720900026208,[354222475]
96,2000,500,withnumba,1,default,2,1.2429861249997884,-0.02270962500006135,[354222475]
97,2000,500,withnumba,1,default,3,1.2389571670000805,-0.018680667000353424,[354222475]
98,2000,500,withnumba,1,default,4,1.2370897089999744,-0.016813209000247298,[354222475]
99,2000,500,withnumba,1,default,5,1.2407516670000405,-0.020475167000313377,[354222475]
100,2000,1000,withnumba,1,default,1,2.3963595830000486,-0.010388498999873264,[689833081]
101,2000,1000,withnumba,1,default,2,2.4640264169997863,-0.07805533299961098,[689833081]
102,2000,1000,withnumba,1,default,3,2.451174875000106,-0.06520379099993079,[689833081]
103,2000,1000,withnumba,1,default,4,2.3948921669998526,-0.00892108299967731,[689833081]
104,2000,1000,withnumba,1,default,5,2.442651874999683,-0.056680790999507735,[689833081]
105,5000,100,withnumba,1,default,1,1.7912671659996704,0.002625209000598261,[524452924]
106,5000,100,withnumba,1,default,2,1.7978057079999417,-0.003913332999673003,[524452924]
107,5000,100,withnumba,1,default,3,1.7977462080002624,-0.003853832999993756,[524452924]
108,5000,100,withnumba,1,default,4,1.7661084579999624,0.027783917000306246,[524452924]
109,5000,100,withnumba,1,default,5,1.7670390410003165,0.026853333999952156,[524452924]
110,5000,500,withnumba,1,default,1,7.636809916999937,0.05949983299979067,[2215375027]
111,5000,500,withnumba,1,default,2,7.65222787499988,0.04408187499984706,[2215375027]
112,5000,500,withnumba,1,default,3,7.6028832500001045,0.09342649999962305,[2215375027]
113,5000,500,withnumba,1,default,4,7.610176000000138,0.08613374999958978,[2215375027]
114,5000,500,withnumba,1,default,5,7.598876708000262,0.09743304199946579,[2215375027]
