,num_points,max_iterations,application,num_threads,chunk_size,repeat,runtime
0,100,100,python,1,default,1,0.026572625000000016
1,100,100,python,1,default,2,0.02605845799999995
2,100,100,python,1,default,3,0.025658833999999908
3,100,100,python,1,default,4,0.02543799999999996
4,100,100,python,1,default,5,0.02513862500000008
5,100,500,python,1,default,1,0.09729624999999986
6,100,500,python,1,default,2,0.0928986249999999
7,100,500,python,1,default,3,0.0911185000000001
8,100,500,python,1,default,4,0.09054412500000009
9,100,500,python,1,default,5,0.09228337499999983
10,100,1000,python,1,default,1,0.17590745799999996
11,100,1000,python,1,default,2,0.17530533299999984
12,100,1000,python,1,default,3,0.17448416600000005
13,100,1000,python,1,default,4,0.1763597910000001
14,100,1000,python,1,default,5,0.1760156249999998
15,500,100,python,1,default,1,0.663647208
16,500,100,python,1,default,2,0.682087917
17,500,100,python,1,default,3,0.6625400000000004
18,500,100,python,1,default,4,0.6768611670000002
19,500,100,python,1,default,5,0.6390978330000001
20,500,500,python,1,default,1,2.3113505420000005
21,500,500,python,1,default,2,2.2614688750000003
22,500,500,python,1,default,3,2.3414572499999995
23,500,500,python,1,default,4,2.3290116249999997
24,500,500,python,1,default,5,2.2694445839999986
25,500,1000,python,1,default,1,4.341353958999999
26,500,1000,python,1,default,2,4.37220275
27,500,1000,python,1,default,3,4.373163667
28,500,1000,python,1,default,4,4.3748681670000025
29,500,1000,python,1,default,5,4.392359040999999
30,2000,100,python,1,default,1,10.328322209
31,2000,100,python,1,default,2,10.400233457999995
32,2000,100,python,1,default,3,10.287873582999993
33,2000,100,python,1,default,4,10.336993583999998
34,2000,100,python,1,default,5,10.366674207999992
35,2000,500,python,1,default,1,37.45135983300001
36,2000,500,python,1,default,2,37.51473841699999
37,2000,500,python,1,default,3,37.684985624999996
38,2000,500,python,1,default,4,37.898480000000006
39,2000,500,python,1,default,5,37.73465150000001
40,2000,1000,python,1,default,1,71.15275937500002
41,2000,1000,python,1,default,2,71.27515549999998
42,2000,1000,python,1,default,3,72.01769333300001
43,2000,1000,python,1,default,4,71.28882170799994
44,2000,1000,python,1,default,5,71.71545720799998
45,5000,100,python,1,default,1,65.27520608400005
46,5000,100,python,1,default,2,65.45555087500009
47,5000,100,python,1,default,3,65.3998795
48,5000,100,python,1,default,4,65.80151070799991
49,5000,100,python,1,default,5,64.840896542
50,5000,500,python,1,default,1,231.8411971669999
51,5000,500,python,1,default,2,232.20628858300006
52,5000,500,python,1,default,3,233.27035862499997
53,5000,500,python,1,default,4,234.28441904200008
54,5000,500,python,1,default,5,234.21344099999988
55,5000,1000,python,1,default,1,446.55154987499964
56,5000,1000,python,1,default,2,446.5240130830002
57,5000,1000,python,1,default,3,444.9671439589997
58,5000,1000,python,1,default,4,443.7137237090001
59,5000,1000,python,1,default,5,444.9570953330003
60,100,100,withnumba,1,default,1,0.0007816670004103798
61,100,100,withnumba,1,default,2,0.0007896669994806871
62,100,100,withnumba,1,default,3,0.0007709159999649273
63,100,100,withnumba,1,default,4,0.0007442500000252039
64,100,100,withnumba,1,default,5,0.000752332999581995
65,100,500,withnumba,1,default,1,0.0031519159992967616
66,100,500,withnumba,1,default,2,0.003110207999270642
67,100,500,withnumba,1,default,3,0.003155708000122104
68,100,500,withnumba,1,default,4,0.0031502499996349798
69,100,500,withnumba,1,default,5,0.0030917920003048494
70,100,1000,withnumba,1,default,1,0.006152208999992581
71,100,1000,withnumba,1,default,2,0.006102583999563649
72,100,1000,withnumba,1,default,3,0.0061187080000308924
73,100,1000,withnumba,1,default,4,0.006113082999945618
74,100,1000,withnumba,1,default,5,0.0060512909994940856
75,500,100,withnumba,1,default,1,0.018295500000022002
76,500,100,withnumba,1,default,2,0.01831399999991845
77,500,100,withnumba,1,default,3,0.018328083000596962
78,500,100,withnumba,1,default,4,0.018249834000016563
79,500,100,withnumba,1,default,5,0.018234750000374333
80,500,500,withnumba,1,default,1,0.0796104999999443
81,500,500,withnumba,1,default,2,0.07890333300019847
82,500,500,withnumba,1,default,3,0.07895408399963344
83,500,500,withnumba,1,default,4,0.07809554200048296
84,500,500,withnumba,1,default,5,0.07677120799962722
85,500,1000,withnumba,1,default,1,0.14890608400037308
86,500,1000,withnumba,1,default,2,0.1507961659999637
87,500,1000,withnumba,1,default,3,0.14854829199975939
88,500,1000,withnumba,1,default,4,0.14836224999999104
89,500,1000,withnumba,1,default,5,0.14845041599983233
90,2000,100,withnumba,1,default,1,0.28197758399983286
91,2000,100,withnumba,1,default,2,0.2845801659996141
92,2000,100,withnumba,1,default,3,0.281584667000061
93,2000,100,withnumba,1,default,4,0.2874392909998278
94,2000,100,withnumba,1,default,5,0.2819155419992967
95,2000,500,withnumba,1,default,1,1.2299847499998577
96,2000,500,withnumba,1,default,2,1.227565166000204
97,2000,500,withnumba,1,default,3,1.2276073330003783
98,2000,500,withnumba,1,default,4,1.228161750000254
99,2000,500,withnumba,1,default,5,1.22416450000037
100,2000,1000,withnumba,1,default,1,2.4348185420003574
101,2000,1000,withnumba,1,default,2,2.3972074580005938
102,2000,1000,withnumba,1,default,3,2.3968438749998313
103,2000,1000,withnumba,1,default,4,2.4063628339999923
104,2000,1000,withnumba,1,default,5,2.3994010839996918
105,5000,100,withnumba,1,default,1,1.772956833000535
106,5000,100,withnumba,1,default,2,1.7705603330005033
107,5000,100,withnumba,1,default,3,1.7721740409997437
108,5000,100,withnumba,1,default,4,1.7724804170002244
109,5000,100,withnumba,1,default,5,1.7700447499992151
